SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,16,128,122,280355,498627,812781,127,16636,328678,724411,19905.7276,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,280355,493534,808967,125,16636,323829,724411,18704.5199,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,125,16636,326775,724335,77142.4945,,,
,,,,,,,,,,,,16,4,160
 bmuta,16,128,75,280355,335626,372992,124,16636,322783,724449,70668.453,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,122,16636,316821,718316,80371.7152,,,
,,,,,,,,,,,,,,
 bmuta,16,128,126,280355,485697,763946,127,16636,327951,721920,13556.4869,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,280355,481252,759863,127,16636,327833,721920,12979.2832,,,
,,,,,,,,,,,,,,
 bmuta,16,128,117,280355,465275,747138,127,16636,328259,721920,16333.3047,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,280355,478995,758026,127,16636,327833,721920,12994.8833,,,
,,,,,,,,,,,,,,
 bmuta,16,128,118,280355,481343,786064,121,16636,312683,719744,14086.8903,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,120,16636,314503,718316,78374.9024,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,280355,472116,752446,123,16636,321228,721772,16036.9028,,,
,,,,,,,,,,,,,,
 bmuta,16,128,119,280355,469832,751033,125,16636,324810,721920,16879.3082,,,
,,,,,,,,,,,,16,8,40
 bmuta,16,128,96,202810,322887,477170,125,16636,330959,722761,67626.4335,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,202810,392799,735837,124,16636,334275,727996,15397.2987,,,
,,,,,,,,,,,,,,
 bmuta,16,128,94,202810,319978,474981,124,16636,329430,726994,65130.4175,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,202810,381702,681802,126,16636,334568,724743,56659.5632,,,
,,,,,,,,,,,,,,
 bmuta,16,128,96,202810,322887,477170,125,16636,332704,722761,60777.9896,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,202810,379303,671986,124,16636,329854,721986,16270.9043,,,
,,,,,,,,,,,,,,
 bmuta,16,128,96,202810,322887,477170,125,16636,331451,722761,62899.6032,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,202810,393110,731417,125,16636,330998,730849,14820.095,,,
,,,,,,,,,,,,,,
 bmuta,16,128,126,202810,400245,753540,127,16636,335538,729176,15522.0995,,,
,,,,,,,,,,,,,,
 bmuta,16,128,116,202810,370140,666420,125,16636,334874,731750,15147.6971,,,
,,,,,,,,,,,,16,8,80
 bmuta,16,128,123,202810,395492,752870,123,16636,329427,729195,20280.13,,,
,,,,,,,,,,,,,,
 bmuta,16,128,118,202810,385876,682482,124,16636,331581,727419,59904.384,,,
,,,,,,,,,,,,,,
 bmuta,16,128,109,202810,349435,548863,124,16636,329932,729951,13993.2897,,,
,,,,,,,,,,,,,,
 bmuta,16,128,119,202810,384089,740500,122,16636,326450,728529,12355.2792,,,
,,,,,,,,,,,,,,
 bmuta,16,128,96,202810,322896,477210,126,16636,333090,722761,78764.9049,,,
,,,,,,,,,,,,,,
 bmuta,16,128,115,202810,373808,654803,124,16636,328786,725671,68188.0371,,,
,,,,,,,,,,,,,,
 bmuta,16,128,107,202810,345867,556369,124,16636,332158,728857,76752.492,,,
,,,,,,,,,,,,,,
 bmuta,16,128,122,202810,390872,752593,123,16636,325752,727597,16692.107,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,202810,396715,745865,125,16636,330882,726390,13150.8843,,,
,,,,,,,,,,,,,,
 bmuta,16,128,94,202810,319984,475092,123,16636,328007,726680,71620.0591,,,
,,,,,,,,,,,,16,8,160
 bmuta,16,128,120,202810,403541,767970,125,16636,332603,724556,14352.092,,,
,,,,,,,,,,,,,,
 bmuta,16,128,109,202810,349040,555058,127,16636,335987,732318,18969.7216,,,
,,,,,,,,,,,,,,
 bmuta,16,128,109,202810,349040,555058,122,16636,322829,732318,13634.4874,,,
,,,,,,,,,,,,,,
 bmuta,16,128,115,202810,369490,679276,121,16636,325562,730388,13790.4884,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,202810,406259,755693,124,16636,330534,722125,12604.8808,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,202810,400227,750247,122,16636,329838,727951,12214.8783,,,
,,,,,,,,,,,,,,
 bmuta,16,128,109,202810,349040,555058,126,16636,334076,732318,14118.0905,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,202810,400477,737694,125,16636,336454,731928,11856.076,,,
,,,,,,,,,,,,,,
 bmuta,16,128,109,202810,349040,555058,125,16636,330752,732318,13759.2882,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,202810,400471,764706,126,16636,334853,732368,17066.5094,,,
,,,,,,,,,,,,32,4,40
 bmuta,16,128,0,0,0,0,125,16636,317066,709690,17175.7101,,,
,,,,,,,,,,,,32,8,40
 bmuta,16,128,0,0,0,0,124,16636,317722,710961,15210.0975,,,
,,,,,,,,,,,,32,16,40
 bmuta,16,128,102,361231,458798,529393,121,16636,315391,727925,51963.9331,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,361231,492319,687702,126,16636,328387,729574,16489.3057,,,
,,,,,,,,,,,,,,
 bmuta,16,128,95,361231,453966,520740,122,16636,319725,723604,73367.2703,,,
,,,,,,,,,,,,,,
 bmuta,16,128,96,361231,454750,522814,125,16636,324983,721174,74256.476,,,
,,,,,,,,,,,,,,
 bmuta,16,128,98,361231,456218,525520,122,16636,319562,724411,80059.7132,,,
,,,,,,,,,,,,,,
 bmuta,16,128,102,361231,458698,529252,124,16636,323297,727627,70528.0521,,,
,,,,,,,,,,,,,,
 bmuta,16,128,102,361231,458656,530335,125,16636,324383,722301,65770.0216,,,
,,,,,,,,,,,,,,
 bmuta,16,128,102,361231,458801,530563,124,16636,322238,722300,70091.2493,,,
,,,,,,,,,,,,,,
